epoch,train_loss,val_loss,train_acc,val_acc
1,0.6661448090076446,0.4076686789035797,0.7507666666666667,0.8455
2,0.4434693976084391,0.3632950153827667,0.83525,0.8694
3,0.3878118324438731,0.3160194899559021,0.8564666666666667,0.8865
4,0.35391091589927676,0.30070019969940187,0.8686333333333334,0.8902
5,0.3338641746679942,0.29166114811897276,0.8765166666666667,0.8914
6,0.3131608072916667,0.2827700466632843,0.8833833333333333,0.8951
7,0.299291605313619,0.2638783905982971,0.8880333333333333,0.9011
8,0.28987958283424375,0.2663319355010986,0.8917166666666667,0.9002
9,0.2806494658788045,0.275495351934433,0.8966666666666666,0.8968
10,0.26822541414896645,0.24144217600822448,0.9011666666666667,0.9099
11,0.2592919113953908,0.2566571933269501,0.90385,0.9043
12,0.2552502379020055,0.23810934457778932,0.9052833333333333,0.9116
13,0.24755517893632253,0.23434852480888366,0.9077666666666667,0.9138
14,0.24103491775989533,0.2312115725040436,0.9104166666666667,0.9132
15,0.23718315977255502,0.22712913126945494,0.9134166666666667,0.9149
16,0.2286094522078832,0.23395610241889953,0.91445,0.9106
17,0.22282284094492594,0.2214769639968872,0.9171333333333334,0.918
18,0.21896825051307678,0.22096182198524475,0.9189,0.9194
19,0.21286584996382396,0.21506647229194642,0.92045,0.9203
20,0.2103627584775289,0.21251870036125184,0.9217833333333333,0.9213
21,0.20403833526770274,0.2124857858181,0.9224666666666667,0.9197
22,0.19999227610429127,0.2191294095993042,0.9257,0.9218
23,0.1980094217300415,0.20812165365219115,0.9257833333333333,0.9241
24,0.1948544010003408,0.20942738661766053,0.9270166666666667,0.9217
25,0.19004118358691532,0.20569993114471435,0.9301833333333334,0.9249
26,0.1853320078452428,0.20952895946502686,0.9314666666666667,0.9246
27,0.18634493412176767,0.20083622541427612,0.9293833333333333,0.927
28,0.18363186676502227,0.20101790404319764,0.93255,0.9272
29,0.17833369532823562,0.20088860006332399,0.9334833333333333,0.9279
30,0.17879891715844473,0.20188333008289336,0.9327333333333333,0.9278
